JournalTitle,ISSN,JournalLink,FakeJournalLink,Publisher,Indexing,Reason,JournalType
Lujun Gongcheng Daxue Xuebao/Journal of Army Engineering University of PLA,2097-0730,https://xbzrb.aeu.edu.cn/ch/index.aspx###,https://www.jaeupla.org/,Army Engineering University of Pla,CiteScore 0.1/Q4,,Fake
Boreal Environment Research,1239-6095,https://www.borenv.net/index.html,https://borenv.com/index.html,Finnish Environment Institute,CiteScore 2.3/Q2,,Fake
Baltic Journal of Law and Politics,2029-0454,https://sciendo.com/journal/BJLP?tab=issues,https://versita.com/about-the-journal/,Vytautas Magnus University,CiteScore 0.5/Q3,,Fake
International Journal of Special Education,0827-3383 1917-7844,http://internationalsped.com/index.php/ijse/index,http://www.internationaljournalofspecialeducation.com/,SPED Ltd,#,,Fake
Chinese Journal of Medical Genetics,1003-9406,http://zhyxycxzz.yiigle.com/,http://zhyxycx.life/index.php/cjmg,Chinese Medical Journals Publishing House Co.Ltd,CiteScore 0.3/Q4,,Fake
Onomazein,0717-1285 0718-5758,https://onomazein.letras.uc.cl/index.php/onom/,http://www.onomazein.com/index.php/onom/about,Pontificia Universidad Catolica de Chile,CiteScore 0.6/Q2,,Fake
Scandinavian Journal of Information Systems,0905-0167 1901-0990,https://aisel.aisnet.org/sjis/,http://sjisscandinavian-iris.com/index.php/sjis,Association for Information Systems,_,,Fake
"Business, Management and Economics Engineering",2669-2481 2669-249X,https://journals.vilniustech.lt/index.php/BMEE,https://businessmanagementeconomics.org/,Vilnius Gediminas Technical University,_,,Fake
Social Evolution and History,1681-4363,https://www.sociostudies.org/journal/seh/,https://socialevolutionhistory.com/,Uchitel Publishing House,CiteScore 0.7/Q1,,Fake
Lino,0211-2574,https://reunido.uniovi.es/index.php/RAHA/issue/view/851,http://linojournal.com/,Universidad de Oviedo,_,,Fake
Journal of Physical Education and Sport,2247-8051 2247-806X,https://efsupit.ro/,https://efsupit.net/,Editura Universitatea din Pitesti,CiteScore 2.4/Q2,,Fake
Kongzhi yu Juece/Control and Decision,1001-0920,#,https://www.kzyjc.org,Northeastern University,#,,Fake
"Lin chuang er bi yan hou tou jing wai ke za zhi  Journal of clinical otorhinolaryngology, head, and neck surgery",1001-1781,#,https://www.lcebyhkzz.cn/Vol-2023.php#,Tong ji yi ke da xue Fu shu xie he yi yuan,CiteScore 0.1/Q4,,Fake
Journal of Nursing,0047-262X,https://www.ipress.tw/J0012,https://jnr.tw/,Taiwan Nurses Association,CiteScore 0.7/Q3,,Fake
Huadong Ligong Daxue Xuebao /Journal of East China University of Science and Technology,1006-3080,https://journal.ecust.edu.cn/indexen.htm,https://hdigdxxb.info/index.php/JE_CUST/,East China University of Science and Technology,_,,Fake
Ymer,0044-0477,https://ssag.se/english/publications/ymer/,http://theymerdigital.com/,Svenska Sällskapet för Antropologi och Geografi,#,,Fake
Innovations,1267-4982,http://innovations.cairn.info/en/,https://journal-innovations.com/,De Boeck Supérieur,CiteScore 1.0/Q4,,Fake
Journal of Modern Literature,0022-281X 1529-1464,https://muse.jhu.edu/journal/97,http://iiupress.org/muse.jhu.edu/journal/48859/online.PHP,Indiana University Press,CiteScore 0.2/Q2,,Fake
High Technology Letters,1006-6748,http://www.hitech863.com/gjstxen/ch/index.aspx,https://gjstx-e.cn/,Institute of Scientific and Technical Information of China,_,,Fake
Zhongguo Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of China University of Petroleum (Edition of Natural Science),1673-5005,http://zgsydxxb.ijournals.cn/zgsydxxben/ch/index.aspx,https://www.journalofchinauniversityofpetroleum.com/,Petroleum university periodical society,CiteScore 1.8/Q3,,Fake
MUSIK IN BAYERN,0937-583X,https://jahrbuch.gfbm-online.de/index.php/mib/,http://musikinbayern.com/aboutUs.html,_,_,,Fake
Vegueta,1133-598X 2341-1112,https://revistavegueta.ulpgc.es/ojs/index.php/revistavegueta/about,https://revistavegueta.xyz/,"University of Las Palmas de Gran Canaria, Faculty of Geography and History",CiteScore 0.2/Q3,,Fake
Bylye Gody,2073-9745 2310-0028,https://bg.cherkasgu.press/en/index.html,https://bylyegody.com/,Cherkas Global University Press,CiteScore 1.2/Q1,,Fake
PAIDEUMA,0090-5674,https://paideuma.wordpress.com/,https://paideumajournal.com/,National Poetry Foundation-University of Maine,_,,Fake
Shu Ju Cai Ji Yu Chu Li/Journal of Data Acquisition and Processing,1004-9037,https://sjcj.nuaa.edu.cn/,http://www.sjcjycl.cn/index.php,Chinese Physical Society,CiteScore 0.6/Q4,,Fake
Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University,0258-2724,#,http://jsju.org/index.php/journal/index,Science Press,CiteScore 1.2/Q2,,Fake
Interciencia,0378-1844,https://www.interciencia.net/,https://intercienciajournal.com/,Interciencia Association,CiteScore 0.8/Q3,,Fake
Chelonian Conservation and Biology,1071-8443 1943-3956,https://meridian.allenpress.com/ccb,http://acgpublishing.com/,ALLEN PRESS INC,CiteScore 1.8/Q3,,Fake
Journal of Korean Academy of Psychiatric and Mental Health Nursing,1225-8482,https://www.jkpmhn.org/about/about.php,https://mhnursing.or.kr/index.php/JKPMHN,Korean Society of Nursing Science,CiteScore 0.7/Q4,,Fake
Latin American Journal of Pharmacy,0326-2383,http://www.latamjpharm.org/,http://actafarmbonaerense.com.ar/index.php/latamjpharm/index,Colegio de Farmaceuticos de la Provincia de Buenos Aires,CiteScoreTracker 0.4,,Fake
Journal of Research Administration,1539-1590,https://www.srainternational.org/resources/journal,https://journalra.org/index.php/jra/,SRA International,CiteScore 0.6/Q4,,Fake
Movement and Sports Sciences - Science et Motricite,2118-5735 2118-5743,https://www.mov-sport-sciences.org/,http://movementsportsciences.com/index.html,EDP Sciences,CiteScore 1.0/Q3,,Fake
Adalya,1301-2746,https://akmed.ku.edu.tr/en/publications/periodicals/adalya/,https://adalyajournal.com/,Suna ve Inan Kirac Akdeniz Medeniyetleri Arastirma Enstitusu,_,,Fake
Shuikexue Jinzhan/Advances in Water Science,1001-6791,http://skxjz.nhri.cn/,http://www.skxjz.info/index.php/AWS/index,China Water Power Press,CiteScore 2.2/Q2,,Fake
Journal of Biomechanical Science and Engineering,1880-9863,https://www.jstage.jst.go.jp/browse/jbse/-char/en,https://jbse.org/,Japan Society of Mechanical Engineers/Nihon Kikai Gakkai,CiteScore 1.1/Q4,,Fake
Central European Management Journal,2336-2693 2336-4890,https://sciendo.com/journal/JMBACE,http://journals.kozminski.cem-j.com/,Walter de Gruyter,CiteScore 1.2/Q2,,Fake
